BRAND,COLOUR,CONDITION,CONTRACT,MEMORY,MOBOS,MODEL,PRICE
Samsung,gray,4.0,Sprint,256,android,S8 PLUS,270.0
Blu,red,4.0,Unlocked,16,android,Y85,50.0
Samsung,unknow,3.0,Verizon,0,android,S10 plus,745.0
Apple,unknow,4.0,T-Mobile,64,apple ios,iPhone 8 Plus,400.0
Samsung,white,5.0,Unlocked,64,android,NOTE 8,70.0
Apple,unknow,4.0,Unlocked,256,apple ios,XR,400.0
Apple,white,4.0,Unlocked,64,apple ios,6 PLUS,220.0
Apple,black,4.0,Unlocked,32,apple ios,6S,150.0
Apple,rose,4.0,Unlocked,32,apple ios,6,110.0
Apple,black,5.0,Unlocked,32,apple ios,6 PLUS,155.0
Apple,rose,5.0,At&t,64,apple ios,6,140.0
Apple,black,4.0,Verizon,64,apple ios,6,135.0
Apple,silver,5.0,At&t,128,apple ios,IPHONE 7,225.0
Apple,unknow,3.0,Unlocked,256,apple ios,XS,600.0
Apple,white,4.0,Unlocked,128,apple ios,IPHONE 7 PLUS,275.0
Apple,white,4.0,Unlocked,64,apple ios,iphone 8,365.0
Samsung,gray,5.0,T-Mobile,128,android,S10 PLUS,180.0
Apple,unknow,5.0,At&t,128,apple ios,IPHONE 7 PLUS,400.0
Samsung,black,5.0,Unlocked,64,android,S10,199.0
Apple,unknow,5.0,T-Mobile,256,apple ios,XR,400.0
Apple,unknow,3.0,T-Mobile,64,apple ios,Iphone X,600.0
Apple,rose,4.0,Verizon,128,apple ios,IPHONE 7 PLUS,275.0
Apple,silver,4.0,Unlocked,64,apple ios,6S,170.0
Apple,red,3.0,Unlocked,0,apple ios,iPhone 8 Plus,500.0
Apple,unknow,3.0,Unlocked,0,apple ios,iPhone 8 Plus,450.0
Apple,unknow,3.0,Unlocked,0,apple ios,Iphone X,500.0
Motorola,black,5.0,Unlocked,64,android,moto x,140.0
Motorola,black,5.0,Unlocked,128,android,moto x,140.0
Apple,unknow,4.0,At&t,0,apple ios,Iphone X,500.0
Apple,unknow,5.0,T-Mobile,256,apple ios,iphone 8,400.0
Apple,silver,4.0,At&t,16,apple ios,IPHONE 6,75.0
Apple,rose,5.0,T-Mobile,32,apple ios,IPHONE 6S,150.0
Apple,gray,4.0,Unlocked,256,apple ios,IPHONE 8 PLUS,200.0
Apple,gray,4.0,Unlocked,256,apple ios,IPHONE 8 PLUS,200.0
Lg,black,5.0,T-Mobile,16,android,V20,125.0
Apple,unknow,3.0,Unlocked,0,apple ios,iPhone 8 Plus,500.0
Apple,unknow,4.0,T-Mobile,256,apple ios,Iphone X,400.0
Apple,unknow,3.0,Unlocked,64,apple ios,xs max,970.0
Apple,red,4.0,T-Mobile,64,apple ios,IPHONE 6S,150.0
Zte,rose,4.0,Unlocked,16,android,ZMAX,95.0
Apple,red,4.0,Unlocked,32,apple ios,IPHONE 6S,135.0
Apple,gray,4.0,Unlocked,32,apple ios,IPHONE 6 PLUS,155.0
Apple,silver,4.0,Verizon,64,apple ios,Iphone 6S Plus,135.0
Apple,silver,4.0,Unlocked,256,apple ios,Iphone 6,110.0
Apple,unknow,4.0,Unlocked,512,apple ios,iphone 8,400.0
Apple,unknow,4.0,Unlocked,64,apple ios,iPhone 8 Plus,360.0
Apple,unknow,3.0,Unlocked,0,apple ios,X Max,800.0
Apple,gray,4.0,At&t,32,apple ios,IPHONE 6S,150.0
Apple,black,5.0,T-Mobile,32,apple ios,IPHONE 6S,65.0
Apple,gold,3.0,T-Mobile,256,apple ios,xs max,800.0
