correct prices,predictions,nearest neighbors
230.0,243.33333333333334,[280. 250. 200.]
850.0,633.3333333333334,[900. 780. 220.]
349.0,323.3333333333333,[360. 450. 160.]
245.0,261.6666666666667,[300. 175. 310.]
610.0,255.0,[675.  50.  40.]
650.0,286.6666666666667,[170. 180. 510.]
210.0,195.0,[450. 120.  15.]
400.0,98.33333333333333,[ 75.  80. 140.]
250.0,195.0,[450. 120.  15.]
230.0,195.0,[450. 120.  15.]
280.0,195.0,[450. 120.  15.]
200.0,195.0,[450. 120.  15.]
120.0,243.33333333333334,[280. 250. 200.]
150.0,133.33333333333334,[120. 200.  80.]
280.0,241.66666666666666,[275. 150. 300.]
500.0,255.0,[ 60. 320. 385.]
740.0,423.3333333333333,[190. 700. 380.]
180.0,171.66666666666666,[220. 155. 140.]
850.0,708.3333333333334,[1000.  600.  525.]
30.0,86.66666666666667,[ 20. 160.  80.]
49.0,75.0,[ 40.  60. 125.]
15.0,238.33333333333334,[320.  30. 365.]
600.0,665.6666666666666,[799. 798. 400.]
65.0,86.66666666666667,[ 75. 140.  45.]
20.0,208.33333333333334,[300. 275.  50.]
1100.0,483.3333333333333,[450. 475. 525.]
825.0,506.6666666666667,[770. 250. 500.]
250.0,416.6666666666667,[ 100.  150. 1000.]
60.0,238.33333333333334,[320.  30. 365.]
140.0,90.0,[90. 90. 90.]
650.0,716.6666666666666,[650. 950. 550.]
900.0,216.66666666666666,[200. 350. 100.]
680.0,183.33333333333334,[ 65.  60. 425.]
975.0,598.3333333333334,[370. 650. 775.]
850.0,866.3333333333334,[ 899. 1100.  600.]
30.0,86.66666666666667,[ 20. 160.  80.]
180.0,273.3333333333333,[550.  70. 200.]
450.0,266.6666666666667,[160. 300. 340.]
700.0,763.3333333333334,[700. 700. 890.]
450.0,250.0,[300. 160. 290.]
180.0,273.3333333333333,[550.  70. 200.]
750.0,526.6666666666666,[280. 700. 600.]
350.0,303.3333333333333,[350. 260. 300.]
750.0,783.3333333333334,[900. 650. 800.]
350.0,350.0,[350. 350. 350.]
500.0,543.3333333333334,[530. 500. 600.]
800.0,585.3333333333334,[407. 799. 550.]
1050.0,799.6666666666666,[999. 700. 700.]
80.0,99.0,[99. 99. 99.]
80.0,99.0,[99. 99. 99.]
140.0,195.0,[450. 120.  15.]
80.0,80.0,[80. 80. 80.]
80.0,99.0,[99. 99. 99.]
80.0,99.0,[99. 99. 99.]
400.0,216.66666666666666,[200. 350. 100.]
660.0,216.66666666666666,[200. 350. 100.]
900.0,216.66666666666666,[200. 350. 100.]
650.0,216.66666666666666,[200. 350. 100.]
140.0,90.0,[90. 90. 90.]
15.0,68.33333333333333,[ 40.  15. 150.]
50.0,63.333333333333336,[90. 50. 50.]
60.0,350.0,[750. 150. 150.]
250.0,356.6666666666667,[ 30. 390. 650.]
780.0,595.0,[210. 825. 750.]
170.0,141.66666666666666,[150. 175. 100.]
20.0,110.0,[150. 100.  80.]
450.0,473.3333333333333,[510. 490. 420.]
300.0,308.3333333333333,[325. 250. 350.]
150.0,265.0,[500. 120. 175.]
270.0,258.3333333333333,[220. 275. 280.]
425.0,521.6666666666666,[495. 495. 575.]
320.0,358.3333333333333,[460. 320. 295.]
599.0,619.3333333333334,[700. 700. 458.]
100.0,83.33333333333333,[100.  70.  80.]
20.0,208.33333333333334,[ 25. 500. 100.]
40.0,113.33333333333333,[150.  90. 100.]
349.0,250.0,[175. 200. 375.]
800.0,336.6666666666667,[ 50. 500. 460.]
225.0,385.0,[300. 490. 365.]
600.0,216.66666666666666,[200. 350. 100.]
300.0,211.66666666666666,[210. 275. 150.]
60.0,350.0,[750. 150. 150.]
650.0,441.6666666666667,[375. 600. 350.]
90.0,260.0,[200. 450. 130.]
550.0,286.6666666666667,[135. 550. 175.]
375.0,446.6666666666667,[530. 350. 460.]
650.0,441.6666666666667,[375. 600. 350.]
300.0,271.6666666666667,[360.  75. 380.]
40.0,195.0,[265. 230.  90.]
100.0,128.33333333333334,[ 20. 165. 200.]
49.0,110.0,[150. 100.  80.]
333.0,358.3333333333333,[350. 350. 375.]
49.0,264.0,[400.  12. 380.]
325.0,336.6666666666667,[415. 280. 315.]
299.0,200.0,[400. 100. 100.]
170.0,193.33333333333334,[420.  60. 100.]
330.0,374.6666666666667,[225. 499. 400.]
500.0,500.0,[450. 650. 400.]
820.0,480.0,[500. 490. 450.]
500.0,763.3333333333334,[700. 700. 890.]
799.0,610.0,[730. 600. 500.]
600.0,549.6666666666666,[699. 500. 450.]
98.0,306.6666666666667,[ 70. 750. 100.]
800.0,463.3333333333333,[420. 490. 480.]
70.0,336.6666666666667,[ 50. 500. 460.]
40.0,50.0,[100.  25.  25.]
120.0,433.3333333333333,[500. 400. 400.]
220.0,421.6666666666667,[400. 140. 725.]
100.0,538.0,[ 60. 777. 777.]
850.0,793.3333333333334,[1000.  380. 1000.]
99.0,333.0,[800. 100.  99.]
450.0,616.6666666666666,[450. 700. 700.]
450.0,741.6666666666666,[875. 700. 650.]
800.0,265.0,[275. 300. 220.]
100.0,125.0,[250.  50.  75.]
400.0,586.6666666666666,[700. 540. 520.]
775.0,420.0,[430. 430. 400.]
350.0,368.3333333333333,[420. 300. 385.]
100.0,58.333333333333336,[30. 70. 75.]
750.0,619.6666666666666,[460. 699. 700.]
750.0,800.0,[ 700. 1100.  600.]
900.0,876.3333333333334,[1000.  629. 1000.]
700.0,116.33333333333333,[100. 120. 129.]
850.0,833.3333333333334,[1100.  300. 1100.]
1000.0,900.0,[ 750.  850. 1100.]
900.0,876.6666666666666,[890. 850. 890.]
899.0,708.3333333333334,[950. 875. 300.]
100.0,25.0,[25. 25. 25.]
500.0,683.0,[360. 899. 790.]
350.0,460.0,[600. 700.  80.]
110.0,116.66666666666667,[150.  90. 110.]
320.0,350.0,[415. 285. 350.]
629.0,623.3333333333334,[570. 700. 600.]
800.0,709.0,[750. 527. 850.]
300.0,220.0,[300.  60. 300.]
85.0,85.0,[85. 85. 85.]
25.0,68.33333333333333,[ 40.  15. 150.]
649.0,660.0,[680. 700. 600.]
350.0,236.66666666666666,[350. 240. 120.]
50.0,669.3333333333334,[909. 999. 100.]
350.0,311.6666666666667,[200. 360. 375.]
550.0,70.0,[ 50. 100.  60.]
400.0,451.6666666666667,[350. 485. 520.]
225.0,133.33333333333334,[150. 100. 150.]
100.0,200.0,[150. 100. 350.]
210.0,133.33333333333334,[150. 100. 150.]
375.0,341.6666666666667,[325. 350. 350.]
1049.0,880.0,[800. 850. 990.]
700.0,216.66666666666666,[200. 350. 100.]
675.0,550.0,[600. 400. 650.]
715.0,478.6666666666667,[407. 629. 400.]
230.0,228.33333333333334,[275. 200. 210.]
42.0,620.0,[480. 580. 800.]
300.0,480.0,[340. 500. 600.]
250.0,208.0,[199. 350.  75.]
350.0,219.33333333333334,[160. 249. 249.]
950.0,371.6666666666667,[ 100.   15. 1000.]
30.0,166.66666666666666,[ 55. 320. 125.]
800.0,763.3333333333334,[700. 700. 890.]
680.0,406.6666666666667,[170. 300. 750.]
850.0,598.3333333333334,[370. 650. 775.]
750.0,520.0,[540. 470. 550.]
120.0,138.33333333333334,[140. 125. 150.]
349.0,483.3333333333333,[325. 800. 325.]
550.0,608.3333333333334,[475. 700. 650.]
350.0,393.3333333333333,[370. 450. 360.]
550.0,633.3333333333334,[465. 535. 900.]
30.0,86.66666666666667,[ 40.  80. 140.]
150.0,157.33333333333334,[216. 216.  40.]
110.0,101.66666666666667,[ 80.  75. 150.]
795.0,705.0,[540. 725. 850.]
45.0,371.6666666666667,[ 100.   15. 1000.]
350.0,235.0,[290. 175. 240.]
100.0,160.0,[120. 180. 180.]
400.0,325.0,[375. 400. 200.]
120.0,120.0,[120. 120. 120.]
30.0,110.0,[150. 100.  80.]
750.0,323.3333333333333,[220. 250. 500.]
25.0,60.0,[ 40. 100.  40.]
529.0,366.6666666666667,[450. 250. 400.]
550.0,248.33333333333334,[175. 310. 260.]
150.0,123.33333333333333,[120. 120. 130.]
650.0,616.6666666666666,[650. 600. 600.]
750.0,533.3333333333334,[550. 600. 450.]
550.0,538.3333333333334,[650. 240. 725.]
250.0,233.0,[200. 179. 320.]
80.0,88.33333333333333,[ 70.  70. 125.]
15.0,238.33333333333334,[100. 500. 115.]
250.0,353.3333333333333,[320. 360. 380.]
650.0,716.3333333333334,[599. 850. 700.]
650.0,495.6666666666667,[550. 648. 289.]
40.0,216.66666666666666,[200. 350. 100.]
699.0,170.0,[130. 130. 250.]
135.0,130.0,[150. 115. 125.]
250.0,253.33333333333334,[300. 260. 200.]
675.0,425.0,[175. 550. 550.]
550.0,483.3333333333333,[250. 500. 700.]
899.0,700.0,[750. 600. 750.]
170.0,223.0,[250. 239. 180.]
100.0,219.33333333333334,[160. 249. 249.]
850.0,808.3333333333334,[850. 775. 800.]
850.0,891.6666666666666,[900. 825. 950.]
20.0,64.66666666666667,[87. 20. 87.]
475.0,350.0,[550. 200. 300.]
615.0,491.6666666666667,[800. 200. 475.]
1000.0,883.3333333333334,[950. 900. 800.]
820.0,833.3333333333334,[900. 800. 800.]
350.0,220.0,[120. 280. 260.]
420.0,335.0,[430. 325. 250.]
400.0,200.0,[400. 100. 100.]
400.0,421.6666666666667,[400. 725. 140.]
20.0,103.33333333333333,[ 80.  30. 200.]
180.0,182.0,[326. 100. 120.]
20.0,103.33333333333333,[ 80.  30. 200.]
180.0,182.0,[326. 100. 120.]
280.0,220.0,[260. 200. 200.]
300.0,460.0,[600. 700.  80.]
35.0,108.33333333333333,[ 50.  80. 195.]
89.0,393.3333333333333,[400. 380. 400.]
300.0,200.0,[400. 100. 100.]
650.0,665.6666666666666,[799. 798. 400.]
575.0,533.3333333333334,[550. 600. 450.]
750.0,650.0,[650. 600. 700.]
700.0,286.6666666666667,[135. 550. 175.]
400.0,191.0,[199. 199. 175.]
500.0,616.6666666666666,[650. 600. 600.]
140.0,358.0,[425. 250. 399.]
140.0,303.3333333333333,[350. 300. 260.]
180.0,706.6666666666666,[920. 500. 700.]
140.0,303.3333333333333,[350. 300. 260.]
200.0,208.33333333333334,[300. 275.  50.]
650.0,766.6666666666666,[900. 500. 900.]
140.0,303.3333333333333,[350. 300. 260.]
250.0,336.6666666666667,[160. 400. 450.]
700.0,763.3333333333334,[700. 700. 890.]
250.0,126.66666666666667,[300.  40.  40.]
150.0,126.66666666666667,[140. 120. 120.]
380.0,683.0,[360. 899. 790.]
595.0,740.0,[795. 700. 725.]
425.0,120.0,[130. 140.  90.]
700.0,516.6666666666666,[800. 200. 550.]
270.0,191.66666666666666,[200. 130. 245.]
35.0,216.66666666666666,[200. 350. 100.]
130.0,190.0,[270.  80. 220.]
199.0,213.33333333333334,[350. 250.  40.]
600.0,510.0,[540. 540. 450.]
560.0,510.0,[540. 540. 450.]
540.0,913.3333333333334,[ 540. 1100. 1100.]
