Index,Brand,Condition,Price
0, Samsung,4,270
1, Blu,4,50
2, Apple,4,400
3, Samsung,4,70
4, Apple,4,400
5, Apple,4,220
6, Apple,2,150
7, Apple,2,110
8, Apple,4,155
9, Apple,4,140
10, Apple,2,135
11, Apple,4,225
12, Apple,4,275
13, Apple,4,365
14, Samsung,4,180
15, Apple,4,400
16, Samsung,4,199
17, Apple,4,400
18, Apple,2,275
19, Apple,4,170
20, Motorola,4,140
21, Motorola,4,140
22, Apple,2,500
23, Apple,4,400
24, Apple,4,75
25, Apple,4,150
26, Apple,4,200
27, Apple,4,200
28, Lg,4,125
29, Apple,4,400
30, Apple,4,150
31, Zte,4,95
32, Apple,2,135
33, Apple,4,155
34, Apple,4,135
35, Apple,4,110
36, Apple,4,400
37, Apple,4,360
38, Apple,4,150
39, Apple,4,65
40, Motorola,3,65
41, Samsung,4,375
42, Apple,4,400
43, Apple,4,150
44, Samsung,4,55
45, Apple,4,200
46, Apple,4,150
47, Motorola,4,40
48, Samsung,4,60
49, Samsung,4,100
50, Apple,4,115
51, Apple,4,200
52, Apple,2,200
53, Apple,2,125
54, Apple,4,300
55, Apple,2,135
56, Apple,4,155
57, Apple,4,350
58, Apple,2,150
59, Samsung,2,50
60, Apple,4,310
61, Apple,4,250
62, Apple,2,500
63, Samsung,4,129
64, Apple,4,775
65, Apple,4,529
66, Apple,4,115
67, Apple,4,150
68, Apple,4,200
69, Apple,4,300
70, Apple,4,220
71, Apple,4,190
72, Apple,4,170
73, Apple,3,125
74, Apple,4,190
75, Apple,2,135
76, Samsung,4,150
77, Apple,4,155
78, Apple,4,380
79, Lg,4,230
80, Apple,4,239
81, Apple,4,240
82, Apple,4,190
83, Apple,2,175
84, Apple,2,900
85, Apple,4,250
86, Apple,4,150
87, Apple,4,350
88, Samsung,4,350
89, Apple,4,200
90, Apple,4,200
91, Apple,2,200
92, Apple,4,200
93, Samsung,4,380
94, Apple,4,190
95, Apple,3,155
96, Apple,2,150
97, Apple,4,150
98, Apple,4,135
99, Motorola,4,120
100, Samsung,4,389
101, Samsung,4,389
102, Apple,4,60
103, Apple,3,450
104, Apple,4,150
105, Apple,2,190
106, Apple,4,200
107, Apple,4,235
108, Samsung,4,350
109, Apple,4,315
110, Apple,4,215
111, Apple,4,245
112, Apple,4,400
113, Samsung,4,340
114, Apple,4,340
115, Apple,4,300
116, Lg,4,70
117, Apple,4,150
118, Samsung,4,330
119, Lg,4,200
120, Apple,4,350
121, Apple,4,105
122, Apple,4,135
123, Samsung,4,350
124, Apple,4,50
125, Apple,4,125
126, Motorola,4,140
127, Apple,4,400
128, Samsung,4,70
129, Apple,4,150
130, Apple,4,100
131, Apple,4,100
132, Apple,4,100
133, Apple,4,170
134, Samsung,4,100
135, Apple,4,85
136, Motorola,2,105
137, Apple,4,300
138, Apple,4,100
139, Apple,2,180
140, Apple,4,350
141, Apple,4,399
142, Samsung,4,375
143, Samsung,3,450
144, Apple,4,220
145, Apple,4,80
146, Apple,4,600
147, Apple,4,640
148, Apple,4,135
149, Apple,4,85
150, Apple,4,180
151, Apple,4,325
152, Apple,4,345
153, Apple,4,300
154, Apple,4,500
155, Samsung,4,420
156, Samsung,4,195
157, Motorola,4,90
158, Lg,2,100
159, Samsung,3,450
160, Apple,4,650
161, Google,4,565
162, Apple,4,430
163, Samsung,4,110
164, Apple,4,400
165, Apple,4,350
166, Motorola,4,60
167, Apple,4,200
168, Apple,4,375
169, Apple,2,700
170, One Plus,4,600
171, Apple,4,200
172, Apple,4,100
173, Apple,2,110
174, Apple,4,100
175, Apple,2,145
176, Apple,4,100
177, Apple,4,155
178, Apple,4,300
179, Samsung,2,399
180, Lg,4,40
181, Apple,4,80
182, Nokia,4,60
183, Nokia,4,40
184, Nokia,2,40
185, Apple,2,190
186, Lg,4,540
187, Apple,4,190
188, Blackberry,2,180
189, Apple,4,350
190, Apple,4,490
191, Motorola,4,75
192, Apple,4,300
193, Apple,4,155
194, Apple,4,170
195, Apple,4,160
196, Apple,4,190
197, Apple,4,260
198, Apple,4,75
199, Apple,4,700
200, Apple,4,260
201, Samsung,4,400
202, Motorola,4,80
203, Apple,4,350
204, Samsung,4,350
205, Apple,4,80
206, Apple,4,400
207, Apple,4,275
208, Apple,4,129
209, Samsung,4,270
210, Apple,4,100
211, Apple,4,100
212, Apple,4,280
213, Apple,4,100
214, Apple,4,170
215, Apple,4,150
216, Apple,4,100
217, Samsung,2,375
218, Apple,4,200
219, Samsung,4,375
220, Samsung,4,350
221, Apple,4,150
222, Apple,4,250
223, Apple,4,400
224, Apple,2,100
225, Lg,2,60
226, Apple,4,200
227, Apple,4,300
228, Lg,4,140
229, Apple,3,200
230, Apple,4,100
231, Motorola,4,75
232, Apple,4,400
233, Apple,4,170
234, Alcatel,4,40
235, Samsung,4,100
236, Samsung,4,360
237, Apple,4,129
238, Apple,2,99
239, Apple,4,450
240, Apple,4,700
241, Apple,4,129
242, Apple,4,150
243, Samsung,4,350
244, Apple,2,140
245, Apple,4,850
246, Samsung,4,390
247, Apple,4,700
248, Apple,4,250
249, Apple,4,150
250, Google,4,275
251, Samsung,2,120
252, Apple,4,230
253, Apple,4,400
254, Apple,4,650
255, Xiaomi,4,150
256, Samsung,4,350
257, Samsung,4,300
258, Lg,2,100
259, Apple,4,300
260, Lg,4,65
261, Blackberry,4,60
262, One Plus,4,100
263, Blackberry,4,350
264, Apple,4,200
265, Apple,4,180
266, Samsung,4,900
267, Apple,4,85
268, Apple,4,650
269, Apple,2,180
270, Apple,4,190
271, Apple,4,275
272, Apple,2,180
273, Apple,4,250
274, Apple,4,310
275, Apple,4,100
276, Samsung,4,380
277, Apple,4,100
278, Apple,4,130
279, Apple,4,240
280, Samsung,2,100
281, Apple,4,100
282, Apple,4,1000
283, Samsung,4,399
284, Samsung,4,500
285, Apple,2,69
286, Samsung,4,250
287, Apple,2,180
288, Apple,4,100
289, Lg,4,60
290, Samsung,4,130
291, Samsung,4,350
292, Apple,4,400
293, Apple,4,40
294, Apple,4,180
295, Samsung,4,250
296, Apple,4,390
297, Lg,4,100
298, Lg,4,360
299, Apple,4,250
300, Apple,4,160
301, Apple,4,79
302, Apple,4,1000
303, Samsung,4,100
