BRAND,COLOUR,CONDITION,CONTRACT,MEMORY,MOBOS,MODEL,PRICE
Samsung,gray,like new,Sprint,256,android,S8 PLUS,$270 
Blu,red,like new,Unlocked,16,android,Y85,$50 
Samsung,unknow,Unknown,Verizon,0,android,S10 plus,$745 
Apple,unknow,like new,T-Mobile,64,apple iOS,iPhone 8 Plus,$400 
Samsung,white,excellent,Unlocked,64,android,NOTE 8,$70 
Apple,unknow,like new,Unlocked,256,apple iOS,XR,$400 
Apple,white,like new,Unlocked,64,apple iOS,6 PLUS,$220 
Apple,black,good,Unlocked,32,apple iOS,6S,$150 
Apple,rose,good,Unlocked,32,apple iOS,6,$110 
Apple,black,excellent,Unlocked,32,apple iOS,6 PLUS,$155 
Apple,rose,excellent,At&t,64,apple iOS,6,$140 
Apple,black,good,Verizon,64,apple iOS,6,$135 
Apple,silver,excellent,At&t,128,apple iOS,IPHONE 7,$225 
Apple,unknow,Unknown,Unlocked,256,apple iOS,XS,$600 
Apple,white,like new,Unlocked,128,apple iOS,IPHONE 7 PLUS,$275 
Apple,white,like new,Unlocked,64,apple iOS,iphone 8,$365 
Samsung,gray,excellent,T-Mobile,128,android,S10 PLUS,$180 
Apple,unknow,excellent,At&t,128,apple iOS,IPHONE 7 PLUS,$400 
Samsung,black,excellent,Unlocked,64,android,S10,$199 
Apple,unknow,excellent,T-Mobile,256,apple iOS,XR,$400 
Apple,unknow,Unknown,T-Mobile,64,apple iOS,Iphone X,$600 
Apple,rose,good,Verizon,128,apple iOS,IPHONE 7 PLUS,$275 
Apple,silver,like new,Unlocked,64,apple iOS,6S,$170 
Apple,red,Unknown,Unlocked,0,apple iOS,iPhone 8 Plus,$500 
Apple,unknow,Unknown,Unlocked,0,apple iOS,iPhone 8 Plus,$450 
Apple,unknow,Unknown,Unlocked,0,apple iOS,Iphone X,$500 
Motorola,black,excellent,Unlocked,64,android,moto x,$140 
Motorola,black,excellent,Unlocked,128,android,moto x,$140 
Apple,unknow,good,At&t,0,apple iOS,Iphone X,$500 
Apple,unknow,excellent,T-Mobile,256,apple iOS,iphone 8,$400 
Apple,silver,like new,At&t,16,apple iOS,IPHONE 6,$75 
