brand,color,condition,contract,date,link,memory,mobOs,model,price,title
apple,silver,excellent,unlocked,2019-10-03 13:48,https://sfbay.craigslist.org/scz/mob/d/santa-cruz-iphone-xs-silver-64g/6992072505.html,,apple iOS,XS,$625,iphone xs silver 64g
none,,,unlocked,2019-10-03 13:57,https://seattle.craigslist.org/see/mod/d/seattle-instant-cash-for-smartphones/6992082574.html,,android,,$555,instant cash for smartphones
apple,gray,excellent,unlocked,2019-10-03 13:50,https://lasvegas.craigslist.org/mob/d/las-vegas-iphone-xspace-gray-gb/6992047817.html,256 gb,apple iOS,,$945,iphone--x''space gray'''64/256 gb _passcode ca@sh4==[;/
apple,white,like new,att,2019-10-03 14:08,https://losangeles.craigslist.org/sgv/mob/d/pomona-apple-iphone-256gb-unlocked-white/6992083623.html,256gb,apple iOS,iPhone X (256GB),$600,apple iphone x (256gb)  unlocked - white
apple,gray,like new,unlocked,2019-10-03 13:55,https://orangecounty.craigslist.org/mob/d/corona-iphone-256gb-space-gray-unlocked/6987425271.html,256gb,apple iOS,,$650,iphone x 256gb space gray unlocked
lg stylo 5,,new,unlocked,2019-10-03 14:10,https://sandiego.craigslist.org/csd/mob/d/el-cajon-brand-new-cricket-lg-stylo-5/6992089629.html,,android,,$100,brand new cricket lg stylo 5
apple,red,excellent,unlocked,2019-10-03 12:13,https://sandiego.craigslist.org/esd/mob/d/lemon-grove-iphone-6s-32gb-factory/6983476473.html,32gb,apple iOS,IPHONE 6S,$160,iphone 6s 32gb factory unlocked for any carrier worldwide
apple,black,,att,2019-10-03 13:12,https://sfbay.craigslist.org/eby/mob/d/newark-iphone-xs-256-gm-black/6992042470.html,,apple iOS,,$700,iphone xs 256 gm black
none,black,like new,unlocked,2019-10-03 13:05,https://sfbay.craigslist.org/sby/mob/d/san-jose-google-pixel-3-unlocked-64gb/6992036911.html,64gb,android,,$380,google pixel 3 - unlocked - 64gb - just black
apple,,,unlocked,2019-10-03 12:59,https://sfbay.craigslist.org/sby/mob/d/san-jose-iphone-10-max-256-gb-and-mint/6992031972.html,256 gb,apple iOS,,$750,iphone 10 s max  256 gb and mint showroom condition works perfect.
apple,rose,like new,unlocked,2019-10-03 12:56,https://sfbay.craigslist.org/eby/mob/d/vacaville-unlocked-iphone-7-plus-128gb/6980355620.html,128gb,apple iOS,,$350,unlocked iphone 7 plus 128gb rose gold a1784
apple,black,excellent,att,2019-10-03 13:11,https://sfbay.craigslist.org/sfc/mob/d/san-francisco-iphone-7-plus-128gb-matte/6992041752.html,128gb,apple iOS,iPhone 7 plus,$325,iphone 7 plus 128gb - matte black - excellent
apple,black,like new,unlocked,2019-10-03 13:00,https://sfbay.craigslist.org/sby/mob/d/sunnyvale-iphone-xs-max/6992032405.html,256gb,apple iOS,,$800,iphone xs max
samsung,,good,unlocked,2019-10-03 12:29,https://seattle.craigslist.org/see/mob/d/seattle-samsung-galaxy-note8-unlocked/6989113306.html,64gb,android,,$349,samsung galaxy note8 unlocked
apple,gray,,tmobile,2019-10-03 11:29,https://sandiego.craigslist.org/csd/mob/d/san-diego-iphone-gb/6991842140.html,32gb,apple iOS,,$140,iphone 6 - 32gb
samsung,,like new,unlocked,2019-10-03 12:26,https://seattle.craigslist.org/skc/mod/d/kent-samsung-galaxy-s7-edge-32gb/6992008075.html,32gb,android,,$199,samsung galaxy s7 edge 32gb factory unlocked
apple,rose,excellent,unlocked,2019-10-03 12:24,https://seattle.craigslist.org/est/mob/d/bellevue-apple-iphone-se-64gb-rose-gold/6977963370.html,64gb,apple iOS,iPhone SE,$150,apple iphone se 64gb rose gold (unlocked)
apple,,excellent,unlocked,2019-10-03 12:28,https://seattle.craigslist.org/skc/mod/d/kent-iphone-7-plus-256gb-factory/6992009229.html,256gb,apple iOS,,$429,iphone 7 plus 256gb factory unlocked
apple,,good,unlocked,2019-10-03 12:29,https://seattle.craigslist.org/see/mob/d/seattle-apple-iphone-5c-unlocked/6980691301.html,,apple iOS,,$79,apple iphone 5c unlocked
apple,,,unlocked,2019-10-03 12:27,https://seattle.craigslist.org/sno/mob/d/everett-apple-iphone-xs-max/6989257525.html,,apple iOS,,$899,apple iphone xs max
apple,,,unlocked,2019-10-03 12:40,https://orangecounty.craigslist.org/mod/d/fullerton-seeking-iphones-xs-max-xs-xr/6992020001.html,,apple iOS,,$999,seeking iphones xs max xs xr x 8+ 8
apple,,,tmobile,2019-10-03 12:07,https://orangecounty.craigslist.org/mob/d/garden-grove-apple-iphone-6-plus-64gb/6973764068.html,64gb,apple iOS,,$220,apple iphone 6 plus 64gb unlocked at&t t-mobile verizon
apple,rose,,sprint,2019-10-03 12:21,https://orangecounty.craigslist.org/mob/d/cerritos-iphone-xs-max-256gb-sprint/6982861722.html,256gb,apple iOS,,$750,iphone xs max 256gb sprint unlocked
